variable,strategy,AIC,BIC,deviance,log_likelihood,n_params,n_groups
NoPGroup,v1_simple,289.1857291848925,-99.23820073751924,165.04795163904234,-135.59286459244626,8,71
NoPGroup,v2_medium,487.1290500582101,-249.15024697429516,313.68526364038036,-231.56452502910506,11,128
NoPGroup,v3_detailed,541.9342756643794,-499.077471036233,338.54093615994753,-256.9671378321897,13,176
NoPGroup,v4_fine,598.6287821499087,-526.4373991389352,385.6265814814426,-284.31439107495436,14,189
ActivityGroup,v1_simple,289.1857291848925,-99.23820073751924,165.04795163904234,-135.59286459244626,8,71
ActivityGroup,v2_medium,335.8549241411018,-241.6313130594674,173.72953345624597,-156.9274620705509,10,101
ActivityGroup,v3_detailed,372.42606956867075,-553.4275392477076,170.52355047514868,-171.21303478433538,14,158
ActivityGroup,v4_minimal,114.1372188677372,-68.09169435006265,35.83035486516454,-50.0686094338686,6,36
FinancialRatingGroup,v1_simple,114.1372188677372,-68.09169435006265,35.83035486516454,-50.0686094338686,6,36
FinancialRatingGroup,v2_medium,136.63656098114504,-115.03643428686428,39.81160614945137,-60.31828049057252,7,48
FinancialRatingGroup,v3_detailed,183.03352963071492,-197.78921182183993,67.3640875571555,-81.51676481535746,9,72
FinancialRatingGroup,v4_binary,99.45850372426713,-24.43704711409235,32.76792183217067,-43.729251862133566,5,24
TravellingAreaGroup,v1_simple,99.45850372426713,-24.43704711409235,32.76792183217067,-43.729251862133566,5,24
TravellingAreaGroup,v2_medium,146.29118202728287,-103.37634588337522,51.47169455294041,-65.14559101364144,7,48
TravellingAreaGroup,v3_detailed,146.29118202728287,-103.37634588337522,51.47169455294041,-65.14559101364144,7,48
