variable,strategy,AIC,BIC,deviance,log_likelihood,n_params,n_groups
NoPGroup,v1_simple,617.5964496478393,-29.9359905365962,41.48915447830907,-299.79822482391967,8,30
NoPGroup,v2_medium,951.0551269382061,-73.08999181550251,57.0838156651267,-463.52756346910303,11,46
NoPGroup,v3_detailed,1209.890932208582,-96.29920146727778,82.36029099676466,-590.945466104291,13,58
NoPGroup,v4_fine,1254.9811212661607,-103.19345475635515,81.05205054363935,-612.4905606330803,14,60
ActivityGroup,v1_simple,617.5964496478393,-29.9359905365962,41.48915447830907,-299.79822482391967,8,30
ActivityGroup,v2_medium,847.3100834622453,-44.42729583636695,66.97986616476229,-412.65504173112265,10,41
ActivityGroup,v3_detailed,1133.6781752298434,-63.41920530090272,87.45188741407793,-551.8390876149217,14,53
ActivityGroup,v4_minimal,324.16855214464465,-14.364025354961376,10.589273145196655,-155.08427607232233,6,16
FinancialRatingGroup,v1_simple,324.16855214464465,-14.364025354961376,10.589273145196655,-155.08427607232233,6,16
FinancialRatingGroup,v2_medium,445.92939680328107,-9.50491081724024,30.07388087316426,-214.96469840164053,7,21
FinancialRatingGroup,v3_detailed,526.4380428389877,-16.864419273146225,34.637593924744984,-254.21902141949388,8,25
FinancialRatingGroup,v4_binary,272.08311854122695,-4.952059362647219,13.002586139583538,-130.04155927061348,5,13
TravellingAreaGroup,v1_simple,272.08311854122695,-4.952059362647219,13.002586139583538,-130.04155927061348,5,13
TravellingAreaGroup,v2_medium,505.16075202149784,-21.10248265143412,29.746378634133013,-244.58037601074892,7,24
TravellingAreaGroup,v3_detailed,505.16075202149784,-21.10248265143412,29.746378634133013,-244.58037601074892,7,24
